ID,a_games,a_goals,a_mins,a_tir,b_games,b_goals,b_mins,b_tir,c_goals,last_season,player,position,team
shjX3GRwS3vCtXAvE,21.7,2.0999999999999996,1403.5,0.4574697379892626,15.3,3.9,21.7,21.7,18.900000000000002,4,Robert Snodgrass,MID,West Ham
abrAEwwDWZmZt6kiS,18.299999999999997,0.9,1579.5,0.010000000000000002,18.7,1.2,18.299999999999997,20.4,62.00526315789474,4,Joe Hart,GKP,Burnley
N78TMi7mdx2ag8jtL,1.4999999999999998,1.4999999999999998,77.69999999999999,0.019677419354838705,24.099999999999998,0.9,1.4999999999999998,1.4999999999999998,4.5,4,Ben Gibson,DEF,Burnley
Ffe3PWPXXsi9RwYbr,12.299999999999999,1.4999999999999998,480.29999999999995,0.3297798556042135,13.299999999999999,0.9,12.299999999999999,12.299999999999999,9.9,4,Rachid Ghezzal,MID,Leicester
x5FFiTZezHJBjvjjT,19.900000000000002,2.0999999999999996,1633.5,0.7396703488082799,5.699999999999999,2.0999999999999996,19.900000000000002,19.900000000000002,25.3,4,Jefferson Lerma,MID,Bournemouth
u93XahcndhxCDqjyb,8.7,1.4999999999999998,226.49999999999997,0.6378165503489531,16.9,1.4999999999999998,8.7,9.6,6.900000000000001,4,Matej Vydra,FWD,Burnley
YBYRAv4Ln6E55zN5C,23.5,0.9,2074.5,0.016666666666666666,2.099999999999999,0.9,23.5,31.6,81.6,4,Kepa Arrizabalaga,GKP,Chelsea
MGLQa38sFD9v7fAK2,18.299999999999997,1.4999999999999998,570.9,1.1810599713173775,7.3,1.4999999999999998,18.299999999999997,18.299999999999997,12.899999999999999,4,Adama Traoré,MID,Wolves
GuqptibY7X4JgEYkD,16.9,0.9,1430.1000000000001,0.7500000000000001,8.700000000000001,1.4999999999999998,16.9,16.9,22.5,4,Martín Montoya,DEF,Brighton
j6wqftPwjGmcLek9z,9.7,1.4999999999999998,665.1,0.28430555555555553,15.899999999999999,0.9,9.7,9.7,14.099999999999998,4,Yerry Mina,DEF,Everton
Xq5yZNojiargAkXuq,22.299999999999997,1.4999999999999998,1395.2999999999997,0.7352730028784463,3.300000000000001,3.3,22.299999999999997,22.299999999999997,23.100000000000005,4,Bernard Anício Caldeira Duarte,MID,Everton
aiS8ZXg3bFspTei9Y,18.1,1.4999999999999998,1271.7,0.4516322978955875,7.499999999999999,2.0999999999999996,18.1,18.1,18.299999999999997,4,André Filipe Tavares Gomes,MID,Everton
HmT2QAuexM44g9TGS,5.5,0.9,353.09999999999997,0.14523809523809525,20.099999999999998,0.9,5.5,5.5,8.7,4,Caglar Söyüncü,DEF,Leicester
qDsnatSjAfxQkjFmq,21.6,1.2,1732.5,0.31857142857142856,15.4,2.4,21.6,12.299999999999999,21.086842105263162,4,Federico Fernández,DEF,Newcastle
N5E3yBQcnxNxGMzjQ,5.699999999999999,1.4999999999999998,240.89999999999998,0.2745179396399119,31.299999999999997,0.9,5.699999999999999,5.699999999999999,6.8999999999999995,4,Domingos Quina,MID,Watford
kd5T5scjW998aQJ98,5.1,0.9,184.5,0.0931578947368421,20.5,0.9,5.1,5.1,3.9,4,Carlos Sánchez,MID,West Ham
2EMbFEMoXCAhC35qC,13.299999999999999,2.0999999999999996,1009.4999999999999,0.5598867978176092,12.299999999999999,0.9,13.299999999999999,13.299999999999999,16.499999999999996,4,Leander Dendoncker,MID,Wolves
smqmvEvoNGQxzQcXY,1.8,0.9,121.5,0.010000000000000002,35.2,0.9,1.8,9.0,45.80526315789473,4,Lee Grant,GKP,Man United
heLGmd3dvud3wQ8tR,1.4999999999999998,0.9,41.70000000000001,0.31,24.099999999999998,0.9,1.4999999999999998,1.4999999999999998,1.4999999999999998,4,Luke Amos,MID,Tottenham
oTzWaXDtLQy6g8Ktg,19.900000000000002,1.4999999999999998,675.2999999999998,0.19593811921576706,5.699999999999999,1.4999999999999998,19.900000000000002,20.8,15.3,4,Isaac Success Ajayi,FWD,Watford
aXCNx2LEK5QZ9mC2a,0.9,0.9,40.5,0.010000000000000002,24.699999999999996,0.9,0.9,0.9,4.5,4,Kortney Hause,DEF,Aston Villa
D3yiw7MsZubW7zFey,19.5,0.9,1291.5,0.6232762017099366,16.9,1.4999999999999998,19.5,19.5,21.299999999999997,4,Nampalys Mendy,MID,Leicester
Xdn3tfedLAevfdcaC,7.3,1.4999999999999998,518.0999999999999,0.2707486631016043,17.1,1.4999999999999998,7.3,7.3,6.3,4,Sean Longstaff,MID,Newcastle
tRNmdpCvyYBWqFgSv,14.800000000000002,2.7,1077.8,0.4792518945631218,20.4,3.3,14.800000000000002,14.5,17.376315789473683,4,Dwight McNeil,MID,Burnley
4hqX6mHwYvdQ3AEj7,3.0,0.9,229.5,0.010000000000000002,32.2,0.9,3.0,10.8,47.95263157894737,4,Paulo Gazzaniga,GKP,Tottenham
a7kWGTS2rcqLBM8oc,11.1,0.9,400.5,0.48631555461688675,22.299999999999997,1.4999999999999998,11.1,11.1,9.9,4,Grady Diangana,MID,West Ham
W2pZ2XyBcrECkToAw,6.699999999999999,0.9,169.89999999999998,0.1779781704781705,14.7,0.9,6.699999999999999,6.699999999999999,7.8999999999999995,4,Oliver Skipp,MID,Tottenham
QfpvP9E3Qau8kqdWa,9.4,3.7,334.59999999999997,0.19839350853023485,22.799999999999997,2.5,9.4,10.0,11.33157894736842,4,Divock Origi,FWD,Liverpool
jg2BwTCjf8E4LiRJ9,8.1,1.4999999999999998,573.3000000000001,0.8766666666666666,22.899999999999995,0.9,8.1,8.1,17.7,4,Juan Foyth,DEF,Tottenham
oYEJ9PG7LWzMA44se,5.8,1.4999999999999998,147.3,0.06557894736842106,25.2,1.4999999999999998,5.8,6.4,3.5842105263157897,4,Michael Obafemi,FWD,Southampton
Xq8ik8dDLHXFtrys6,4.8,1.4999999999999998,83.39999999999999,0.15999999999999998,25.6,0.9,4.8,4.8,4.192105263157895,4,Edward Nketiah,FWD,Arsenal
